,accuracy,precision,recall,f1_score,roc_auc,pr_auc,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
RandomForest,0.79075,0.7525102268501301,0.6673812664907651,0.7073938122705821,0.8207496480111234,0.7697894955492856,0.7909531249999999,0.0036454836141793104,0.7067536891959456,0.005951433552363861,0.81783867427409,0.004346626294680671
GradientBoosting,0.792375,0.7636538461538461,0.6548482849604221,0.705078125,0.8231512484651107,0.7777782348846207,0.79196875,0.0032914276680112505,0.7037209347867264,0.005550656130510945,0.820924976985674,0.0048235229823274045
LogisticRegression,0.7648125,0.6967675731144176,0.6718337730870713,0.6840735454621778,0.7909703567210091,0.7237126703889827,0.7644375,0.0036023673856576603,0.6832115698845111,0.005385364839515756,0.788211368704749,0.003800440654084771
